Isolate,,,,,,,,,
p=0.0045,p=0.005,p=0.0055,p=0.006,p=0.0065,p=0.00691,p=0.00697,p=0.0075,p=0.0085,p=0.0095
1,1,0.998,0.66,0.656,0.628,0.672,0,0.476,0
