Connected,,,,,,,,,
p=0.0045,p=0.005,p=0.0055,p=0.006,p=0.0065,p=0.00691,p=0.00697,p=0.0075,p=0.0085,p=0.0095
0,0,0.006,0.042,0.162,0.412,0.366,0.614,0.896,0.89
